date,Mkt-RF,SMB,HML,RF,CAC40,Accor,AirLiquide,Airbus,ArcelorMittal,AXA,BNP-Paribas,Bouygues,Capgemini,Carrefour,CompagnieSaintGobain,Michelin,CreditAgricole,Danone,ENGIE,Essilor,Kering,Klepierre,LOreal,Lafarge,Legrand,LVMH,Nokia,Orange,PernodRicard,Peugeot,PublicisGroupe,Renault,Safran,Sanofi,SchneiderElectric,SocieteGenerale,Sodexo,Solvay,Technip,Total,UnibailRodamco,Valeo,Veolia,VINCI,Vivendi
2003-08,0.02820,0.02650,0.00180,0.00080,0.03151,0.06162,-0.05832,0.01623,0.09737,0.05556,-0.06084,0.01956,0.05315,0.10087,0.00480,0.14773,0.02185,0.03223,,0.03064,0.08756,0.01565,0.08113,,,0.12239,0.08492,-0.03789,0.01165,0.05830,0.13968,0.11044,0.01610,0.02196,0.03016,-0.03128,0.03894,0.01525,0.08042,0.05994,0.02172,0.06601,0.05030,0.01372,-0.02047
2003-09,0.06180,-0.01190,0.03620,0.00070,-0.05328,-0.10904,-0.07263,-0.08056,0.12230,-0.10402,-0.07228,-0.05713,-0.04940,-0.04846,-0.11295,-0.13656,-0.03295,0.04884,,0.00378,-0.09904,0.03954,-0.07346,,,-0.02557,-0.09987,-0.12611,0.04031,-0.12220,-0.11619,-0.07468,-0.01950,0.01953,-0.09516,-0.05298,-0.12369,0.02254,0.02624,-0.07230,-0.01026,-0.09288,0.07268,0.04653,-0.00718
2003-10,0.04490,-0.00040,0.00420,0.00070,0.07598,0.06989,0.05111,0.32175,0.02350,0.12647,0.07363,0.03494,0.21770,0.04537,0.14951,0.05700,0.10040,-0.00916,,0.11416,0.24326,-0.01483,0.08440,,,0.11434,0.09895,0.05418,0.02091,0.01124,0.14080,0.12008,0.09136,0.02011,0.13146,0.11713,-0.03764,0.04571,0.01070,0.03164,0.00519,0.02743,0.00840,0.00808,0.18882
2003-11,0.07340,-0.02050,0.00570,0.00080,0.01529,0.03458,0.05098,0.04000,0.21086,-0.01656,0.03982,0.10684,-0.04960,-0.00465,0.02838,-0.01926,-0.00383,0.00154,,0.00507,-0.06674,0.04035,-0.02673,,,-0.03364,0.02524,0.03266,0.06807,0.06341,-0.02045,-0.02548,0.05923,0.06103,0.02085,0.04538,0.05244,0.00937,0.05588,0.00823,0.09064,0.00745,0.02240,0.07057,0.05977
2003-12,0.02460,0.03640,0.02300,0.00070,0.03887,0.02571,0.04478,0.03571,0.22414,0.05864,0.06213,0.07027,-0.14539,-0.03181,0.03993,0.09909,0.04011,-0.00462,,-0.01419,-0.06296,0.00000,0.05008,,,0.00435,-0.10246,0.05395,-0.00564,0.02956,-0.02467,-0.01353,0.06568,0.05664,0.00973,0.04790,0.00971,0.06342,-0.04401,0.09347,0.00473,-0.02157,0.08507,-0.01648,0.00627
2004-01,0.03070,0.01040,0.00370,0.00060,0.02264,0.00669,-0.03786,-0.07374,-0.20141,0.06953,0.00160,0.04437,0.00994,-0.07813,0.05437,0.06130,0.03698,0.05100,,0.08512,0.05740,0.01677,-0.02077,,,0.00347,0.21942,0.05075,-0.00737,-0.06658,0.09611,-0.01188,0.10006,-0.04188,0.00385,0.01714,-0.01087,-0.04727,0.12413,-0.04003,0.02488,0.10236,0.06338,0.02894,0.09756
2004-02,-0.03320,0.00900,-0.00220,0.00090,0.02391,-0.02297,0.05865,0.06586,0.16402,0.01818,0.01700,0.02383,-0.06187,0.08549,0.03250,0.00492,0.05451,0.03162,,0.03731,0.07218,0.12784,0.03928,,,0.06218,0.07173,-0.06888,0.12857,0.06205,-0.01242,0.03885,-0.03531,-0.03846,0.02687,0.00351,0.11459,0.03817,0.16122,0.03887,0.05971,0.05857,0.06181,0.08216,0.08983
2004-03,-0.01170,-0.01010,0.00880,0.00080,-0.02690,-0.06627,-0.02875,-0.05696,0.36061,-0.08117,-0.02203,-0.05533,-0.06984,-0.07830,-0.02698,-0.05000,0.02657,-0.04918,,0.07237,-0.02129,0.02925,-0.05820,,,-0.02764,-0.06126,-0.06089,0.00253,0.03521,-0.11323,0.00356,0.00388,-0.03364,-0.00935,-0.02729,-0.06032,-0.03824,-0.01786,0.01633,0.05325,-0.08880,-0.05613,0.06840,-0.06421
2004-04,0.01410,-0.01040,-0.00900,0.00060,0.01353,0.06521,0.05487,0.20228,0.01114,0.03475,0.00744,0.01750,-0.04866,-0.03563,0.02457,0.05914,-0.03153,0.04798,,-0.01374,0.01235,-0.08703,0.00963,,,-0.01672,-0.28520,-0.03314,0.06364,0.08104,0.01338,0.10470,0.00552,-0.00282,0.06038,0.00000,-0.07105,0.06881,0.05091,0.03280,-0.07349,0.01866,-0.02247,0.03969,-0.02689
2004-05,0.02000,0.01010,0.00920,0.00080,-0.00606,-0.03303,-0.01711,-0.04360,0.12555,-0.04382,-0.00200,-0.00878,0.06199,0.03307,-0.02066,0.02459,-0.02187,0.01001,,0.04077,-0.00523,0.09630,0.01033,,,-0.00510,-0.05325,-0.02186,-0.02659,0.03146,-0.03520,-0.02008,-0.01429,0.02075,-0.01957,-0.00144,-0.07432,-0.05794,-0.04498,-0.00389,0.03363,-0.03431,-0.01307,-0.03079,-0.00572
2004-06,-0.03140,0.00090,0.00460,0.00100,0.02217,0.02150,0.04102,0.13380,0.21233,0.07738,0.01100,-0.02550,0.05231,-0.00275,-0.00679,0.13625,-0.00646,0.01558,,0.05610,-0.01401,-0.00266,0.03304,,,0.01624,0.05268,0.08786,0.02537,-0.00995,0.00871,0.02623,0.02230,-0.03697,0.01815,0.00648,0.01690,0.01898,0.00996,0.01952,0.04359,0.03132,0.05890,0.05210,0.09248
2004-07,0.00340,-0.00450,0.01330,0.00110,-0.02301,0.01701,-0.01030,0.00087,0.23677,-0.05691,-0.04293,0.01490,-0.16126,-0.00627,-0.00903,0.01650,-0.02000,-0.04463,,-0.04846,-0.04026,-0.01601,-0.09292,,,-0.04626,-0.19678,-0.03922,-0.05328,0.04763,-0.07439,0.04712,-0.11232,0.05758,-0.05793,-0.02362,0.04294,0.03577,0.03767,0.02936,0.02471,-0.01489,-0.04442,0.02114,-0.08904
