Date,HedgeIndex Main Index,HedgeIndex Convertible Arbitrage Composite Index,HedgeIndex Convertible Arbitrage Index,HedgeIndex Equity Market Neutral Composite Index,HedgeIndex Equity Market Neutral Index,HedgeIndex Event Driven Composite Index,HedgeIndex Event Driven Index,HedgeIndex Fixed Income Arbitrage Composite Index,HedgeIndex Fixed Income Arbitrage Index,HedgeIndex Global Macro Composite Index,HedgeIndex Global Macro Index,HedgeIndex Long/Short Equity Composite Index,HedgeIndex Long/Short Equity Index,HedgeIndex Managed Futures Composite Index,HedgeIndex Managed Futures Index,HedgeIndex Multi-Strategy Composite Index,HedgeIndex Multi-Strategy Index
2011-12,399.81,99.58,323.65,75.74,213.99,124.90,431.52,70.14,220.46,103.66,708.68,106.51,420.75,144.28,245.27,109.40,332.22
2012-01,409.20,101.92,331.33,77.05,214.43,128.71,443.65,70.71,223.09,104.52,717.50,110.12,437.19,146.13,248.13,110.47,340.47
2012-02,415.70,103.59,337.46,78.83,217.25,129.99,450.57,71.14,225.31,105.32,723.08,113.89,448.56,147.62,251.08,111.36,346.27
2012-03,415.89,103.89,339.33,79.17,216.91,129.54,454.10,71.34,226.96,105.40,719.98,115.38,450.79,143.66,243.65,111.30,347.79
2012-04,415.67,103.65,338.47,78.38,215.98,128.06,453.00,71.64,228.51,104.91,718.07,114.29,448.61,144.46,244.67,111.46,349.78
2012-05,409.68,102.93,335.38,74.66,208.60,126.53,446.50,71.70,229.05,103.91,719.46,109.07,426.80,147.99,250.88,111.19,345.35
2012-06,408.00,103.30,336.39,76.20,210.44,124.98,445.64,72.28,230.71,102.74,709.70,110.59,428.16,142.62,242.12,111.61,346.91
2012-07,413.89,104.15,339.32,76.42,209.54,125.26,448.97,73.18,234.51,106.37,725.21,110.98,430.50,149.23,253.74,112.95,351.43
2012-08,417.13,104.41,340.64,77.77,212.02,126.56,453.96,73.46,236.77,106.19,727.61,112.63,436.71,146.71,249.79,114.43,355.96
2012-09,421.23,104.73,341.84,78.59,213.10,128.44,461.18,73.74,239.59,106.01,731.60,114.47,443.25,144.87,246.34,115.02,358.62
2012-10,420.31,104.74,342.55,78.09,212.12,128.70,465.19,74.09,241.56,103.76,726.01,113.68,442.16,137.99,234.90,115.29,359.70
2012-11,422.84,105.01,343.17,78.58,212.86,127.77,466.38,74.15,242.62,103.86,730.95,114.23,445.21,138.87,236.18,115.85,363.16
2012-12,428.85,106.34,347.69,79.01,214.59,130.06,475.26,74.51,244.16,104.33,739.80,116.12,451.97,139.82,238.60,117.28,367.91
2013-01,437.30,108.20,354.34,80.94,218.67,132.67,485.01,74.86,246.56,104.57,745.85,120.50,467.36,143.12,244.70,118.16,375.17
2013-02,438.22,108.14,353.97,79.10,215.66,132.15,487.14,74.95,247.73,103.92,747.87,120.55,467.77,142.07,242.66,118.65,376.53
2013-03,443.47,108.76,356.44,77.77,215.69,135.26,497.42,75.16,249.16,104.89,754.98,122.20,474.19,144.09,246.87,119.38,378.78
2013-04,449.29,108.54,356.79,78.34,217.73,136.56,503.02,75.57,249.89,105.71,767.69,123.41,479.81,149.40,255.19,120.15,382.65
2013-05,451.02,109.96,361.35,77.54,218.52,138.66,514.42,75.00,249.83,104.78,767.00,125.14,485.42,143.23,242.22,120.20,383.94
2013-06,443.40,109.40,360.03,77.61,219.68,137.33,507.50,74.39,246.89,102.86,747.71,123.49,482.21,134.88,229.00,118.38,380.97
2013-07,447.06,108.92,359.61,78.56,223.93,139.86,514.83,74.28,247.73,102.47,749.36,126.27,491.24,133.20,226.54,118.85,385.16
2013-08,444.47,109.66,362.08,77.53,219.97,140.06,514.43,73.73,248.16,101.84,742.13,125.48,485.56,129.88,220.14,118.63,385.33
2013-09,449.84,109.43,362.79,77.75,221.85,141.66,521.55,73.43,249.31,102.17,747.95,129.66,497.93,129.59,219.75,118.90,390.56
2013-10,456.82,110.21,366.00,77.65,224.35,142.61,528.88,73.37,250.73,103.09,755.25,130.83,510.37,134.00,226.15,119.58,397.32
2013-11,462.65,109.66,365.13,77.42,230.08,145.87,537.57,73.37,251.89,103.50,762.77,132.89,519.63,136.70,230.80,120.47,400.61
2013-12,467.98,109.65,366.95,78.40,232.97,148.01,545.96,73.32,252.27,104.24,767.88,136.11,528.72,135.43,230.96,121.26,406.97
2014-01,466.49,112.62,374.69,78.46,233.10,149.40,547.41,73.41,254.77,102.35,759.43,133.69,528.17,129.86,222.85,121.85,410.20
2014-02,474.20,111.73,375.11,79.31,233.63,154.54,561.97,73.71,256.34,101.45,764.35,137.14,542.91,131.48,224.84,122.96,415.74
2014-03,471.78,112.12,375.85,78.52,232.20,152.66,561.04,73.71,257.33,100.54,762.30,133.73,536.32,129.17,220.68,123.15,414.54
2014-04,470.71,112.33,376.99,77.97,230.52,152.52,561.07,73.63,258.39,100.66,762.21,131.26,530.72,130.20,221.55,122.69,412.69
2014-05,476.03,111.34,374.92,77.28,229.84,153.30,567.05,73.60,259.53,101.51,769.98,133.10,538.74,134.69,228.47,123.62,416.36
2014-06,480.47,111.10,375.03,77.36,231.39,156.35,576.29,73.61,260.50,102.75,773.86,133.42,544.03,136.80,231.92,123.30,418.13
2014-07,478.78,111.25,375.12,76.27,229.65,153.59,572.60,73.54,261.20,103.18,773.51,132.49,538.47,135.50,229.40,123.12,418.55
2014-08,482.91,110.74,373.90,75.77,229.54,153.61,573.11,73.81,261.58,103.07,782.20,132.98,545.39,142.56,241.07,123.59,421.96
2014-09,482.67,110.23,371.08,74.84,228.78,149.17,564.74,73.93,262.63,103.43,786.31,132.23,544.18,144.87,245.30,125.05,426.11
2014-10,478.57,108.30,364.21,75.31,229.73,143.14,552.19,74.14,262.26,100.78,778.71,130.56,543.98,148.56,249.68,124.54,423.83
2014-11,485.58,108.05,363.70,76.13,230.95,144.33,555.04,74.11,262.70,101.62,791.34,132.55,554.08,160.03,268.42,126.24,428.84
2014-12,485.43,106.69,359.25,75.95,229.22,143.36,551.69,73.93,262.41,102.43,788.94,132.47,555.86,164.54,272.91,126.30,430.46
2015-01,489.43,106.32,358.28,75.52,228.22,141.27,545.52,73.92,260.02,103.63,811.35,131.92,557.31,176.34,290.42,127.29,435.76
2015-02,494.43,107.04,361.58,75.11,223.74,144.56,557.62,74.06,261.85,102.86,814.44,134.73,568.23,174.91,286.92,128.78,438.72
2015-03,497.29,106.50,360.37,75.13,223.16,145.04,559.49,73.59,261.53,102.82,825.15,135.15,565.46,179.29,293.96,129.53,443.34
2015-04,497.17,109.43,369.62,76.08,222.12,145.26,563.78,73.30,262.98,100.64,818.86,135.51,565.12,171.62,281.78,129.21,443.17
2015-05,501.12,109.75,371.41,76.27,224.28,146.57,568.37,73.30,264.14,101.68,824.42,136.83,577.24,168.86,279.21,129.36,445.91
2015-06,494.36,108.62,368.46,77.22,227.59,143.29,561.15,72.67,263.46,99.24,809.70,133.52,574.31,158.19,263.06,127.94,443.86
2015-07,498.48,107.45,364.40,78.08,228.76,142.64,561.89,73.24,264.12,100.84,819.67,135.30,582.87,165.33,274.48,129.60,448.12
2015-08,488.51,107.24,363.36,79.24,230.77,138.24,546.12,72.78,263.89,98.29,798.09,130.47,571.63,159.91,266.92,128.61,445.75
2015-09,481.34,106.97,362.24,80.20,232.08,134.19,526.98,72.75,262.55,97.40,785.11,128.22,564.90,163.95,274.46,128.41,443.59
2015-10,483.64,107.91,365.49,79.49,230.56,134.92,527.44,72.77,261.88,98.24,794.96,131.91,574.43,160.12,267.40,128.92,443.66
2015-11,484.40,106.97,362.49,78.41,227.96,132.50,520.71,73.08,261.94,98.24,806.20,131.63,573.37,166.38,277.65,128.60,444.45
2015-12,480.09,105.69,359.51,79.96,231.36,131.43,513.79,73.40,262.14,96.12,789.61,131.00,572.94,162.17,271.55,128.25,445.06
2016-01,472.90,103.99,352.13,79.82,228.44,127.07,497.70,73.67,259.94,95.47,784.49,124.39,556.52,171.12,282.29,128.10,442.56
2016-02,467.39,103.78,351.51,78.30,226.59,124.91,488.28,73.89,257.01,93.19,771.69,122.22,546.30,175.77,291.13,126.88,438.47
2016-03,468.24,104.68,356.89,78.63,229.76,123.58,489.22,73.00,258.22,93.08,770.06,122.80,549.31,168.22,283.00,124.35,441.19
2016-04,469.38,105.86,361.84,78.58,227.56,124.06,496.89,73.54,261.62,92.76,771.25,123.07,544.96,162.18,274.18,123.76,442.54
2016-05,470.64,106.07,363.64,78.29,227.83,126.26,501.59,72.98,261.67,92.11,768.69,124.79,552.16,156.89,264.88,125.48,446.37
2016-06,469.70,106.52,365.33,77.62,221.82,125.16,498.34,72.38,260.09,94.42,773.24,121.76,541.24,163.13,275.77,125.48,445.47
2016-07,474.58,107.87,370.34,78.20,223.50,127.10,505.38,73.19,262.61,95.15,774.72,125.01,547.68,165.49,279.90,126.31,449.75
2016-08,476.28,109.05,374.59,77.98,223.49,128.02,511.56,73.41,264.32,94.83,775.25,126.31,549.49,159.94,270.93,127.20,453.19
2016-09,476.36,110.13,378.08,78.67,224.64,128.67,511.45,73.82,266.01,95.12,775.30,126.85,549.63,156.42,266.01,127.53,455.37
2016-10,474.98,109.96,377.94,78.22,223.77,128.49,510.47,73.57,266.86,95.29,786.48,126.48,543.83,149.98,254.36,127.33,455.36
2016-11,476.27,109.51,377.38,76.72,219.14,130.05,515.78,73.37,267.98,93.01,801.38,126.67,542.53,147.09,249.51,126.65,452.43
2016-12,480.35,109.67,378.43,76.42,217.79,131.05,521.57,73.84,270.14,95.08,809.18,126.81,546.61,146.18,249.73,128.91,459.12
2017-01,483.00,110.61,382.78,77.42,221.78,132.68,527.73,74.76,272.32,94.69,805.93,129.52,551.87,143.18,245.87,128.74,462.13
2017-02,487.18,111.73,386.74,76.56,218.98,134.10,532.85,74.90,274.00,96.68,807.70,130.68,558.87,146.49,251.57,129.93,465.95
2017-03,488.46,111.32,385.44,77.53,221.41,132.82,533.35,74.92,275.33,97.32,808.17,131.64,563.34,143.44,246.47,130.34,469.97
2017-04,489.85,111.41,386.03,78.95,221.48,134.00,535.65,75.38,275.94,97.38,802.39,132.39,570.75,141.83,244.82,130.93,473.13
2017-05,492.97,111.11,385.75,79.36,220.53,133.88,539.82,76.15,277.87,98.30,797.33,134.16,579.54,141.71,245.48,131.96,479.28
2017-06,489.87,110.47,384.51,80.02,221.24,134.62,536.61,76.30,278.44,97.51,790.63,134.11,577.58,136.30,237.17,132.42,478.34
2017-07,495.50,111.23,388.40,81.60,228.28,135.93,542.14,77.09,280.31,100.21,799.53,136.89,587.19,137.31,239.72,131.88,481.09
2017-08,497.57,111.17,386.66,81.87,230.09,134.76,537.42,77.48,281.36,101.34,801.02,137.61,591.04,140.68,245.91,132.16,483.83
2017-09,496.02,111.23,388.63,81.03,229.53,134.40,538.64,75.71,277.55,100.62,800.74,137.97,591.55,136.56,238.92,131.25,482.40
2017-10,501.60,111.84,389.59,81.18,227.76,134.56,539.02,75.63,279.39,103.10,805.82,139.88,602.84,143.42,250.62,131.88,484.56
2017-11,501.27,110.68,386.94,81.10,226.41,133.82,536.70,76.18,280.25,103.87,805.12,139.43,604.00,142.83,249.98,130.94,484.34
2017-12,504.93,111.47,390.07,81.50,231.42,136.88,543.99,76.24,282.28,105.87,811.67,140.84,607.95,145.01,253.62,130.35,481.20
2018-01,517.13,113.17,396.14,82.98,235.56,137.93,551.32,77.20,284.07,111.44,834.55,145.58,625.00,152.81,264.53,131.71,493.65
2018-02,505.02,113.23,391.65,81.76,231.22,136.92,542.99,76.43,284.70,105.05,816.13,143.47,611.62,138.43,243.86,128.83,481.94
2018-03,503.70,112.16,390.74,82.67,231.52,135.32,539.08,76.55,285.49,104.44,810.46,141.57,609.69,137.40,242.73,128.53,485.63
